"GO","GO_definition","GO_ontology","GO_term"
"GO:0008013","Interacting selectively and non-covalently with the beta subunit of the catenin complex.","MF","beta-catenin binding"
"GO:0030178","Any process that stops, prevents, or reduces the frequency, rate or extent of the Wnt signaling pathway.","BP","negative regulation of Wnt signaling pathway"
"GO:0045945","Any process that activates or increases the frequency, rate or extent of transcription mediated by RNA polymerase III.","BP","positive regulation of transcription by RNA polymerase III"
"GO:0048565","The process whose specific outcome is the progression of the digestive tract over time, from its formation to the mature structure. The digestive tract is the anatomical structure through which food passes and is processed.","BP","digestive tract development"
"GO:0071339","A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5.","CC","MLL1 complex"
"GO:0009607","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism.","BP","response to biotic stimulus"
"GO:0004088","Catalysis of the reaction: 2 ATP + L-glutamine + CO2 + H2O = 2 ADP + phosphate + glutamate + carbamoyl phosphate.","MF","carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"
"GO:0006807","The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.","BP","nitrogen compound metabolic process"
"GO:0016554","The conversion of a cytosine residue to uridine in an RNA molecule by deamination.","BP","cytidine to uridine editing"
"GO:0080156","The covalent alteration within the mitochondrion of one or more nucleotides within an mRNA to produce an mRNA molecule with a sequence that differs from that coded genetically.","BP","mitochondrial mRNA modification"
"GO:0000784","The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres).","CC","nuclear chromosome, telomeric region"
"GO:0003684","Interacting selectively and non-covalently with damaged DNA.","MF","damaged DNA binding"
"GO:0006303","The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear.","BP","double-strand break repair via nonhomologous end joining"
"GO:0042162","Interacting selectively and non-covalently with a telomere, a specific structure at the end of a linear chromosome required for the integrity and maintenance of the end.","MF","telomeric DNA binding"
"GO:0043564","Heterodimeric protein complex composed of a 70 kDa and a 80 kDa subunit, binds DNA through a channel formed by the heterodimer. Functions in DNA double stranded break repair, chromosome maintenance, transcription regulation, V(D)J recombination, and activation of DNA-PK.","CC","Ku70:Ku80 complex"
"GO:0045087","Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.","BP","innate immune response"
"GO:0050832","Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.","BP","defense response to fungus"
"GO:0016844","Catalysis of the reaction: 3alpha(S)-strictosidine + H(2)O = secologanin + tryptamine.","MF","strictosidine synthase activity"
"GO:0005727","Circular DNA structures that are not part of a chromosome.","CC","extrachromosomal circular DNA"
"GO:0019835","The rupture of cell membranes and the loss of cytoplasm.","BP","cytolysis"
"GO:0042742","Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.","BP","defense response to bacterium"
"GO:0043022","Interacting selectively and non-covalently with any part of a ribosome.","MF","ribosome binding"
"GO:0004014","Catalysis of the reaction: S-adenosyl-L-methionine + H(+) = S-adenosylmethioninamine + CO(2).","MF","adenosylmethionine decarboxylase activity"
"GO:0006557","The chemical reactions and pathways resulting in the formation of S-adenosylmethioninamine, (5-deoxy-5-adenosyl)(3-aminopropyl) methylsulfonium salt.","BP","S-adenosylmethioninamine biosynthetic process"
"GO:0006596","The chemical reactions and pathways resulting in the formation of polyamines, any organic compound containing two or more amino groups.","BP","polyamine biosynthetic process"
"GO:0006694","The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification.","BP","steroid biosynthetic process"
"GO:0003989","Catalysis of the reaction: ATP + acetyl-CoA + HCO3- = ADP + phosphate + malonyl-CoA.","MF","acetyl-CoA carboxylase activity"
"GO:0009317","A protein complex that catalyzes the first step in long-chain fatty acid biosynthesis. For example, in E. coli the complex is heterohexameric and composed of biotin carbonyl carrier protein, biotin carboxylase and the acetate CoA-transferase complex.","CC","acetyl-CoA carboxylase complex"
"GO:2001295",NA,"BP","malonyl-CoA biosynthetic process"
"GO:0017003","The covalent linkage of heme and a protein.","BP","protein-heme linkage"
"GO:0031640","Any process in an organism that results in the killing of cells of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions.","BP","killing of cells of other organism"
"GO:0044179","The cytolytic destruction of red blood cells, with the release of intracellular hemoglobin, in one organism by another.","BP","hemolysis in other organism"
"GO:0044218","The cell membrane of a secondary organism with which the first organism is interacting.","CC","other organism cell membrane"
"GO:0044279",NA,NA,NA
"GO:0046685","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an arsenic stimulus from compounds containing arsenic, including arsenates, arsenites, and arsenides.","BP","response to arsenic-containing substance"
"GO:0005871","Any complex that includes a dimer of molecules from the kinesin superfamily, a group of related proteins that contain an extended region of predicted alpha-helical coiled coil in the main chain that likely produces dimerization. The native complexes of several kinesin family members have also been shown to contain additional peptides, often designated light chains as all of the noncatalytic subunits that are currently known are smaller than the chain that contains the motor unit. Kinesin complexes generally possess a force-generating enzymatic activity, or motor, which converts the free energy of the gamma phosphate bond of ATP into mechanical work.","CC","kinesin complex"
"GO:0016441","The inactivation of gene expression by a posttranscriptional mechanism.","BP","posttranscriptional gene silencing"
